iter	Passed	Remaining
1018	72200	494633
1019	72274	494587
1020	72357	494595
1021	72430	494539
1022	72519	494591
1023	72611	494664
1024	72699	494711
1025	72789	494769
1026	72866	494738
1027	72949	494747
1028	73035	494778
1029	73113	494755
1030	73197	494773
1031	73266	494687
1032	73343	494661
1033	73423	494648
1034	73522	494769
1035	73621	494885
1036	73717	494979
1037	73810	495055
1038	73886	495019
1039	73981	495106
1040	74063	495110
1041	74140	495076
1042	74232	495141
1043	74338	495302
1044	74436	495410
1045	74528	495479
1046	74607	495456
1047	74698	495519
1048	74795	495615
1049	74884	495661
1050	74962	495637
1051	75031	495547
1052	75103	495480
1053	75184	495472
1054	75272	495513
1055	75353	495508
1056	75444	495564
1057	75532	495599
1058	75612	495585
1059	75688	495544
1060	75772	495559
1061	75846	495504
1062	75947	495623
1063	76038	495679
1064	76133	495761
1065	76226	495826
1066	76332	495981
1067	76424	496046
1068	76522	496143
1069	76626	496282
1070	76741	496493
1071	76835	496563
1072	76927	496621
1073	77020	496690
1074	77131	496870
1075	77222	496923
1076	77309	496947
1077	77401	497005
1078	77485	497014
1079	77564	496987
1080	77640	496939
1081	77720	496922
1082	77795	496871
1083	77868	496805
1084	77945	496768
1085	78030	496780
1086	78134	496914
1087	78243	497073
1088	78337	497147
1089	78426	497183
1090	78510	497183
1091	78610	497290
1092	78702	497347
1093	78813	497519
1094	78912	497614
1095	79005	497679
1096	79113	497829
1097	79203	497872
1098	79286	497868
1099	79360	497807
1100	79432	497733
1101	79516	497738
1102	79606	497777
1103	79692	497790
1104	79783	497837
1105	79872	497869
1106	79956	497868
1107	80035	497839
1108	80137	497950
1109	80233	498028
1110	80336	498141
1111	80424	498167
1112	80505	498152
1113	80604	498241
1114	80701	498322
1115	80791	498362
1116	80885	498422
1117	80987	498531
1118	81081	498592
1119	81175	498652
1120	81270	498714
1121	81360	498750
1122	81449	498779
1123	81542	498833
1124	81629	498848
1125	81718	498876
1126	81827	499027
1127	81907	498994
1128	81997	499031
1129	82077	499001
1130	82155	498961
1131	82233	498923
1132	82309	498871
1133	82397	498887
1134	82471	498824
1135	82538	498719
1136	82610	498642
1137	82685	498581
1138	82769	498581
1139	82842	498509
1140	82925	498497
1141	83003	498455
1142	83069	498343
1143	83142	498273
1144	83215	498199
1145	83285	498116
1146	83356	498031
1147	83457	498127
1148	83556	498210
1149	83656	498299
1150	83762	498423
1151	83860	498504
1152	83951	498538
1153	84057	498665
1154	84165	498796
1155	84256	498831
1156	84356	498921
1157	84450	498973
1158	84538	498986
1159	84629	499021
1160	84714	499022
1161	84813	499101
1162	84906	499144
1163	85001	499201
1164	85087	499206
1165	85180	499250
1166	85267	499258
1167	85352	499252
1168	85437	499248
1169	85527	499274
1170	85621	499325
1171	85707	499327
1172	85782	499262
1173	85857	499202
1174	85932	499141
1175	86021	499156
1176	86100	499117
1177	86173	499043
1178	86251	498998
1179	86324	498923
1180	86400	498872
1181	86478	498825
1182	86571	498866
1183	86681	499002
1184	86771	499028
1185	86850	498985
1186	86927	498938
1187	87006	498896
1188	87093	498901
1189	87174	498873
1190	87258	498858
1191	87364	498974
1192	87466	499062
1193	87548	499038
1194	87627	499000
1195	87717	499022
1196	87818	499106
1197	87899	499077
1198	87986	499082
1199	88058	498995
1200	88130	498914
1201	88209	498876
1202	88287	498828
1203	88367	498793
1204	88439	498711
1205	88510	498625
1206	88588	498578
1207	88673	498566
1208	88752	498523
1209	88822	498432
1210	88898	498374
1211	88972	498304
1212	89043	498216
1213	89108	498095
1214	89183	498035
1215	89255	497953
1216	89334	497909
1217	89404	497819
1218	89476	497735
1219	89545	497638
1220	89615	497544
1221	89692	497491
1222	89762	497401
1223	89836	497329
1224	89932	497383
1225	90044	497521
1226	90138	497560
1227	90235	497617
1228	90312	497563
1229	90396	497549
1230	90478	497518
1231	90561	497499
1232	90645	497484
1233	90725	497447
1234	90807	497417
1235	90892	497407
1236	90975	497388
1237	91056	497355
1238	91147	497374
1239	91231	497361
1240	91330	497421
1241	91411	497392
1242	91489	497342
1243	91570	497309
1244	91643	497230
1245	91723	497192
1246	91801	497139
1247	91880	497096
1248	91953	497020
1249	92024	496933
1250	92106	496901
1251	92186	496864
1252	92273	496861
1253	92352	496820
1254	92428	496759
1255	92501	496681
1256	92574	496602
1257	92646	496520
1258	92728	496490
1259	92813	496480
1260	92893	496440
1261	92979	496432
1262	93053	496358
1263	93140	496356
1264	93227	496351
1265	93312	496340
1266	93391	496292
1267	93472	496258
1268	93545	496184
1269	93629	496161
1270	93716	496156
1271	93795	496112
1272	93883	496113
1273	93987	496203
1274	94125	496464
1275	94211	496453
1276	94307	496499
1277	94406	496555
1278	94481	496487
1279	94559	496438
1280	94640	496402
1281	94726	496393
1282	94798	496304
1283	94870	496225
1284	94948	496169
1285	95024	496106
1286	95098	496035
1287	95171	495953
1288	95247	495891
1289	95322	495825
1290	95401	495777
1291	95473	495694
1292	95547	495622
1293	95618	495532
1294	95690	495448
1295	95761	495357
1296	95835	495287
1297	95907	495204
1298	95981	495130
1299	96065	495104
1300	96154	495108
1301	96228	495039
1302	96299	494947
1303	96375	494883
1304	96449	494813
1305	96519	494718
1306	96587	494612
1307	96653	494497
1308	96726	494420
1309	96801	494351
1310	96882	494317
1311	96960	494262
1312	97046	494251
1313	97117	494162
1314	97190	494081
1315	97265	494012
1316	97334	493917
1317	97406	493831
1318	97475	493730
1319	97546	493642
1320	97615	493546
1321	97688	493467
1322	97757	493370
1323	97828	493280
1324	97904	493216
1325	97978	493142
1326	98060	493109
1327	98127	493000
1328	98199	492918
1329	98298	492968
1330	98385	492961
1331	98479	492989
1332	98567	492987
1333	98650	492956
1334	98731	492919
1335	98808	492857
1336	98889	492819
1337	98966	492762
1338	99060	492788
1339	99144	492761
1340	99234	492767
1341	99327	492787
1342	99418	492800
1343	99505	492790
1344	99599	492812
1345	99685	492800
1346	99769	492773
1347	99852	492746
1348	99946	492765
1349	100040	492790
1350	100119	492740
1351	100207	492736
1352	100289	492702
1353	100379	492704
1354	100465	492689
1355	100551	492670
1356	100635	492647
1357	100709	492570
1358	100779	492476
1359	100848	492376
1360	100920	492292
1361	101000	492248
1362	101070	492155
1363	101146	492085
1364	101217	492000
1365	101285	491896
1366	101357	491812
1367	101430	491729
1368	101500	491637
1369	101576	491572
1370	101649	491491
1371	101720	491400
1372	101793	491320
1373	101860	491211
1374	101939	491163
1375	102009	491068
1376	102080	490978
1377	102152	490896
1378	102222	490800
1379	102294	490717
1380	102387	490732
1381	102461	490660
1382	102531	490566
1383	102606	490492
1384	102681	490425
1385	102763	490390
1386	102843	490342
1387	102910	490233
1388	102995	490209
1389	103083	490201
1390	103164	490163
1391	103241	490099
1392	103316	490027
1393	103388	489944
1394	103471	489914
1395	103559	489906
1396	103640	489861
1397	103712	489779
1398	103789	489716
1399	103859	489624
1400	103932	489543
1401	103999	489434
1402	104070	489345
1403	104139	489248
1404	104208	489151
1405	104295	489137
1406	104381	489114
1407	104460	489063
1408	104533	488985
1409	104607	488908
1410	104684	488849
1411	104759	488780
1412	104837	488721
1413	104911	488647
1414	104991	488598
1415	105067	488534
1416	105142	488464
1417	105213	488373
1418	105290	488311
1419	105365	488241
1420	105436	488153
1421	105500	488033
1422	105568	487929
1423	105636	487825
1424	105710	487750
1425	105783	487670
1426	105858	487601
1427	105940	487563
1428	106014	487486
1429	106094	487439
1430	106172	487382
1431	106244	487298
1432	106316	487216
1433	106386	487120
1434	106456	487030
1435	106528	486944
1436	106600	486859
1437	106668	486759
1438	106733	486642
1439	106805	486558
1440	106883	486500
1441	106960	486441
1442	107031	486352
1443	107107	486285
1444	107186	486235
1445	107268	486193
1446	107343	486122
1447	107414	486033
1448	107486	485950
1449	107559	485872
1450	107640	485830
1451	107714	485755
1452	107814	485797
1453	107901	485779
1454	107988	485760
1455	108078	485761
1456	108174	485783
1457	108276	485835
1458	108369	485843
1459	108454	485814
1460	108542	485802
1461	108627	485776
1462	108710	485742
1463	108798	485727
1464	108877	485673
1465	108963	485655
1466	109055	485655
1467	109144	485650
1468	109241	485673
1469	109329	485661
1470	109420	485660
1471	109512	485665
1472	109607	485679
1473	109706	485713
1474	109799	485724
1475	109890	485721
1476	109992	485768
1477	110090	485798
1478	110186	485817
1479	110287	485862
1480	110393	485925
1481	110490	485947
1482	110581	485948
1483	110672	485942
1484	110765	485952
1485	110854	485940
1486	110939	485910
1487	111027	485895
1488	111105	485834
1489	111173	485730
1490	111243	485636
1491	111320	485573
1492	111399	485515
1493	111476	485451
1494	111543	485346
1495	111618	485270
1496	111690	485187
1497	111765	485112
1498	111834	485015
1499	111906	484930
1500	111981	484853
1501	112055	484777
1502	112135	484724
1503	112208	484643
1504	112284	484577
1505	112355	484487
1506	112428	484406
1507	112506	484344
1508	112577	484255
1509	112651	484176
1510	112719	484072
1511	112789	483981
1512	112866	483917
1513	112950	483882
1514	113022	483796
1515	113095	483713
1516	113166	483623
1517	113236	483530
1518	113302	483420
1519	113371	483319
1520	113441	483225
1521	113514	483145
1522	113588	483069
1523	113658	482974
1524	113750	482973
1525	113839	482961
1526	113936	482978
1527	114026	482969
1528	114117	482966
1529	114203	482937
1530	114289	482912
1531	114378	482896
1532	114462	482861
1533	114541	482806
1534	114623	482762
1535	114707	482725
1536	114787	482676
1537	114866	482619
1538	114951	482585
1539	115032	482537
1540	115116	482501
1541	115201	482472
1542	115277	482401
1543	115359	482357
1544	115440	482309
1545	115526	482281
1546	115609	482241
1547	115698	482226
1548	115783	482194
1549	115869	482167
1550	115958	482150
1551	116064	482206
1552	116153	482191
1553	116241	482172
1554	116329	482149
1555	116414	482116
1556	116499	482085
1557	116586	482059
1558	116668	482013
1559	116743	481942
1560	116823	481888
1561	116912	481871
1562	117001	481855
1563	117080	481797
1564	117152	481711
1565	117223	481617
1566	117307	481582
1567	117395	481560
1568	117477	481516
1569	117555	481453
1570	117631	481381
1571	117696	481265
1572	117774	481203
1573	117865	481198
1574	117954	481179
1575	118045	481170
1576	118129	481134
1577	118214	481097
1578	118294	481046
1579	118381	481020
1580	118461	480965
1581	118546	480929
1582	118625	480872
1583	118697	480782
1584	118768	480693
1585	118836	480589
1586	118904	480488
1587	118970	480376
1588	119042	480290
1589	119113	480200
1590	119190	480132
1591	119261	480043
1592	119332	479953
1593	119398	479840
1594	119474	479769
1595	119547	479689
1596	119626	479627
1597	119705	479572
1598	119790	479536
1599	119872	479488
1600	119954	479442
1601	120034	479389
1602	120120	479358
1603	120201	479306
1604	120280	479247
1605	120365	479214
1606	120450	479179
1607	120539	479157
1608	120627	479135
1609	120713	479104
1610	120798	479071
1611	120865	478961
1612	120949	478925
1613	121034	478887
1614	121113	478829
1615	121193	478776
1616	121268	478698
1617	121336	478596
1618	121407	478506
1619	121482	478432
1620	121570	478406
1621	121658	478382
1622	121739	478330
1623	121824	478296
1624	121903	478235
1625	121973	478142
1626	122044	478053
1627	122117	477967
1628	122193	477898
1629	122268	477823
1630	122342	477741
1631	122427	477708
1632	122502	477632
1633	122575	477547
1634	122646	477458
1635	122720	477380
1636	122808	477355
1637	122891	477312
1638	122962	477219
1639	123036	477141
1640	123111	477067
1641	123183	476979
1642	123260	476911
1643	123335	476835
1644	123426	476824
1645	123504	476761
1646	123583	476700
1647	123660	476632
1648	123731	476542
1649	123810	476484
1650	123883	476400
1651	123958	476323
1652	124032	476245
1653	124107	476169
1654	124177	476077
1655	124250	475993
1656	124329	475932
1657	124405	475861
1658	124481	475789
1659	124553	475705
1660	124624	475615
1661	124699	475539
